Sample,Time_us,Raw_u16,Voltage_V
969,969014,16147,0.813078
970,970010,39945,2.011421
971,971011,39129,1.970332
972,972013,16788,0.845356
973,973015,53821,2.710144
974,974008,16307,0.821135
975,975010,40009,2.014644
976,976012,39129,1.970332
977,977011,16740,0.842939
978,978013,53773,2.707727
979,979014,16083,0.809856
980,980015,40201,2.024312
981,981009,39209,1.974360
982,982011,16660,0.838910
983,983012,53773,2.707727
984,984014,16067,0.809050
985,985013,40137,2.021090
986,986010,39305,1.979194
987,987011,16756,0.843745
988,988012,53949,2.716590
989,989013,16147,0.813078
990,990015,40137,2.021090
991,991009,39257,1.976777
992,992010,16628,0.837299
993,993010,53901,2.714173
994,994013,16099,0.810661
995,995014,40105,2.019478
996,996008,39289,1.978389
997,997009,16676,0.839716
998,998012,53869,2.712561
999,999013,16115,0.811467
1000,1000015,40233,2.025924
1001,1001014,39049,1.966304
1002,1002009,16676,0.839716
1003,1003010,53901,2.714173
1004,1004012,16195,0.815495
1005,1005013,40185,2.023506
1006,1006014,38985,1.963081
1007,1007008,16644,0.838105
1008,1008009,53821,2.710144
1009,1009010,16195,0.815495
1010,1010014,40153,2.021895
1011,1011009,39225,1.975166
1012,1012010,16676,0.839716
1013,1013011,53757,2.706921
1014,1014012,16147,0.813078
1015,1015014,40233,2.025924
1016,1016009,39225,1.975166
1017,1017009,16692,0.840522
1018,1018013,53949,2.716590
1019,1019014,16211,0.816301
1020,1020008,39849,2.006587
1021,1021010,39225,1.975166
1022,1022011,16724,0.842133
1023,1023012,53853,2.711756
1024,1024014,16115,0.811467
1025,1025015,40217,2.025118
1026,1026010,39161,1.971943
1027,1027011,16740,0.842939
1028,1028013,53917,2.714978
1029,1029015,16035,0.807439
1030,1030009,39897,2.009004
1031,1031010,39177,1.972749
1032,1032012,16628,0.837299
1033,1033013,53933,2.715784
1034,1034009,16275,0.819524
1035,1035010,39913,2.009810
1036,1036012,39209,1.974360
1037,1037012,16740,0.842939
1038,1038014,53725,2.705310
1039,1039015,16003,0.805827
1040,1040009,39897,2.009004
1041,1041010,39209,1.974360
1042,1042011,16692,0.840522
1043,1043012,53869,2.712561
1044,1044013,16003,0.805827
1045,1045015,40137,2.021090
1046,1046008,39337,1.980806
1047,1047010,16644,0.838105
1048,1048011,53773,2.707727
1049,1049011,16243,0.817913
1050,1050014,39977,2.013033
1051,1051015,38921,1.959858
1052,1052009,16692,0.840522
1053,1053010,53885,2.713367
1054,1054012,16179,0.814690
1055,1055013,40169,2.022701
1056,1056015,38873,1.957441
1057,1057015,16900,0.850996
1058,1058011,54029,2.720618
