Sample,Time_us,Raw_u16,Voltage_V
707,707008,14675,0.738956
708,708012,12819,0.645498
709,709008,18724,0.942843
710,710012,30231,1.522275
711,711008,42810,2.155688
712,712012,51708,2.603744
713,713012,53517,2.694836
714,714010,47707,2.402275
715,715014,36136,1.819620
716,716010,23589,1.187819
717,717014,14643,0.737345
718,718011,12803,0.644692
719,719014,18836,0.948482
720,720011,30231,1.522275
721,721011,42842,2.157299
722,722009,51724,2.604550
723,723013,53613,2.699670
724,724009,47659,2.399858
725,725013,36232,1.824454
726,726009,23557,1.186207
727,727013,14643,0.737345
728,728010,12819,0.645498
729,729010,18788,0.946065
730,730015,30247,1.523081
731,731011,42858,2.158105
732,732015,51740,2.605356
733,733011,53565,2.697253
734,734008,47627,2.398247
735,735012,36216,1.823648
736,736008,23573,1.187013
737,737009,14659,0.738151
738,738014,12771,0.643081
739,739010,18756,0.944454
740,740014,30295,1.525498
741,741011,42810,2.155688
742,742015,51772,2.606967
743,743011,53565,2.697253
744,744015,47707,2.402275
745,745010,36200,1.822843
746,746014,23509,1.183790
747,747010,14723,0.741373
748,748014,12867,0.647915
749,749011,18724,0.942843
750,750015,30215,1.521469
751,751011,42778,2.154076
752,752015,51820,2.609384
753,753010,53565,2.697253
754,754009,47691,2.401470
755,755013,36200,1.822843
756,756009,23589,1.187819
757,757013,14691,0.739762
758,758010,12803,0.644692
759,759014,18740,0.943648
760,760010,30231,1.522275
761,761012,42858,2.158105
762,762011,51708,2.603744
763,763015,53549,2.696448
764,764011,47643,2.399052
765,765015,36136,1.819620
766,766011,23525,1.184596
767,767008,14675,0.738956
768,768012,12851,0.647109
769,769014,18756,0.944454
770,770011,30215,1.521469
771,771015,42858,2.158105
772,772011,51756,2.606162
773,773008,53565,2.697253
774,774012,47627,2.398247
775,775008,36264,1.826065
776,776012,23509,1.183790
777,777015,14627,0.736539
778,778012,12819,0.645498
779,779009,18724,0.942843
780,780013,30215,1.521469
781,781009,42842,2.157299
782,782013,51740,2.605356
783,783009,53517,2.694836
784,784013,47659,2.399858
785,785009,36200,1.822843
786,786008,23605,1.188624
787,787012,14691,0.739762
788,788009,12819,0.645498
789,789013,18772,0.945260
790,790009,30183,1.519858
791,791013,42890,2.159716
792,792009,51724,2.604550
793,793013,53581,2.698059
794,794011,47659,2.399858
795,795015,36168,1.821231
796,796011,23573,1.187013
797,797008,14675,0.738956
798,798012,12835,0.646303
799,799008,18676,0.940426
800,800012,30215,1.521469
801,801015,42890,2.159716
802,802011,51724,2.604550
803,803008,53645,2.701282
804,804012,47707,2.402275
805,805008,36216,1.823648
806,806012,23477,1.182179
807,807009,14707,0.740568
808,808013,12835,0.646303
809,809009,18756,0.944454
810,810015,30231,1.522275
811,811011,42874,2.158910
812,812015,51724,2.604550
813,813011,53549,2.696448
814,814008,47611,2.397441
815,815012,36232,1.824454
816,816008,23605,1.188624
817,817012,14659,0.738151
818,818008,12819,0.645498
819,819012,18788,0.946065
820,820009,30199,1.520664
821,821013,42874,2.158910
822,822009,51708,2.603744
823,823013,53581,2.698059
824,824009,47595,2.396635
825,825013,36184,1.822037
826,826010,23573,1.187013
827,827014,14659,0.738151
828,828010,12803,0.644692
829,829014,18820,0.947677
830,830011,30231,1.522275
831,831015,42890,2.159716
832,832011,51756,2.606162
833,833014,53549,2.696448
834,834012,47675,2.400664
835,835009,36216,1.823648
836,836013,23541,1.185402
837,837009,14691,0.739762
838,838013,12819,0.645498
839,839010,18788,0.946065
840,840014,30247,1.523081
841,841010,42826,2.156494
842,842015,51756,2.606162
843,843011,53613,2.699670
844,844008,47659,2.399858
845,845012,36200,1.822843
846,846008,23573,1.187013
847,847012,14675,0.738956
848,848008,12803,0.644692
849,849012,18772,0.945260
850,850010,30167,1.519052
851,851014,42842,2.157299
852,852010,51756,2.606162
853,853014,53549,2.696448
